# Расписание ШКИ на неделю.
# Формат: day,time,order,group,studio
#   day   = MONDAY..SATURDAY
#   time  = время начала (HH:MM); у среды и субботы своё
#   order = номер занятия в дне (1-5 утро, 6-10 день)
#   group = номер группы (1..13)
#   studio= код студии (АМ из таблицы = Анимация = АН)
day,time,order,group,studio

# --- Понедельник ---
MONDAY,09:00,1,3,ФВ
MONDAY,09:00,1,1,ЭЛ
MONDAY,09:00,1,2,ДЗ
MONDAY,09:00,1,4,АН
MONDAY,09:50,2,1,ФВ
MONDAY,09:50,2,2,ЭЛ
MONDAY,09:50,2,5,ДЗ
MONDAY,09:50,2,3,АН
MONDAY,10:40,3,4,ФВ
MONDAY,10:40,3,5,ЭЛ
MONDAY,10:40,3,3,ДЗ
MONDAY,10:40,3,2,АН
MONDAY,15:20,6,7,ФВ
MONDAY,15:20,6,10,ЗВ
MONDAY,15:20,6,6,ДЗ
MONDAY,15:20,6,9,АН
MONDAY,15:20,6,11,ВР
MONDAY,16:10,7,6,ФВ
MONDAY,16:10,7,11,ЗВ
MONDAY,16:10,7,7,ДЗ
MONDAY,16:10,7,12,АН
MONDAY,16:10,7,10,ВР
MONDAY,17:00,8,11,ФВ
MONDAY,17:00,8,6,ЭЛ
MONDAY,17:00,8,8,ЗВ
MONDAY,17:00,8,10,ДЗ
MONDAY,17:00,8,13,АН
MONDAY,17:00,8,9,ВР
MONDAY,17:50,9,6,ФВ
MONDAY,17:50,9,7,ЭЛ
MONDAY,17:50,9,9,ЗВ
MONDAY,17:50,9,11,ДЗ
MONDAY,17:50,9,10,АН
MONDAY,17:50,9,8,ВР
MONDAY,18:40,10,12,ФВ
MONDAY,18:40,10,8,ЭЛ
MONDAY,18:40,10,7,ЗВ

# --- Вторник ---
TUESDAY,09:00,1,5,ФВ
TUESDAY,09:00,1,1,ЗВ
TUESDAY,09:00,1,3,ДЗ
TUESDAY,09:00,1,4,АН
TUESDAY,09:00,1,2,ВР
TUESDAY,09:50,2,3,ФВ
TUESDAY,09:50,2,2,ЗВ
TUESDAY,09:50,2,4,ДЗ
TUESDAY,09:50,2,5,АН
TUESDAY,09:50,2,1,ВР
TUESDAY,10:40,3,2,ФВ
TUESDAY,10:40,3,3,ЗВ
TUESDAY,10:40,3,1,ДЗ
TUESDAY,10:40,3,4,ВР
TUESDAY,15:20,6,9,ФВ
TUESDAY,15:20,6,6,ЗВ
TUESDAY,15:20,6,8,ДЗ
TUESDAY,15:20,6,11,АН
